rental_key,rental_id,rental_duration_days,amount_paid,full_date,month_name,month_num,quarter,year,first_name,last_name,city,country,title,category,rating,rental_rate,store_id,staff_first,staff_last
1,1520,8,7.99,2005-06-15,June     ,6,2,2005,Peter,Menard,Ede,Netherlands,Rules Human,Horror,R,4.99,1,Mike,Hillyer
2,1778,5,1.99,2005-06-16,June     ,6,2,2005,Peter,Menard,Ede,Netherlands,Majestic Floats,Documentary,PG,0.99,2,Jon,Stephens
3,1849,6,7.99,2005-06-17,June     ,6,2,2005,Peter,Menard,Ede,Netherlands,Maiden Home,New,PG,4.99,1,Jon,Stephens
4,2829,4,2.99,2005-06-19,June     ,6,2,2005,Peter,Menard,Ede,Netherlands,Hyde Doctor,Classics,G,2.99,1,Mike,Hillyer
5,3130,8,7.99,2005-06-20,June     ,6,2,2005,Peter,Menard,Ede,Netherlands,Massacre Usual,Games,R,4.99,1,Jon,Stephens
6,3382,8,5.99,2005-06-21,June     ,6,2,2005,Peter,Menard,Ede,Netherlands,Annie Identity,Sci-Fi,G,0.99,1,Jon,Stephens
7,2190,8,5.99,2005-06-18,June     ,6,2,2005,Harold,Martino,Boa Vista,Brazil,Wash Heavenly,Foreign,R,4.99,2,Jon,Stephens
8,2914,5,5.99,2005-06-20,June     ,6,2,2005,Harold,Martino,Boa Vista,Brazil,Lola Agent,Horror,PG,4.99,2,Jon,Stephens
9,3081,4,2.99,2005-06-20,June     ,6,2,2005,Harold,Martino,Boa Vista,Brazil,Identity Lover,Sci-Fi,PG-13,2.99,2,Jon,Stephens
10,1547,2,4.99,2005-06-16,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Opposite Necklace,Family,PG,4.99,2,Mike,Hillyer
11,1564,8,6.99,2005-06-16,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Anything Savannah,Horror,R,2.99,1,Mike,Hillyer
12,1879,1,0.99,2005-06-17,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Superfly Trip,Travel,PG,0.99,1,Mike,Hillyer
13,1922,1,0.99,2005-06-17,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Madness Attacks,Foreign,PG-13,0.99,1,Jon,Stephens
14,2461,9,6.99,2005-06-18,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Alley Evolution,Foreign,NC-17,2.99,1,Jon,Stephens
15,2980,8,8.99,2005-06-20,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Beverly Outlaw,Sci-Fi,R,2.99,2,Jon,Stephens
16,3407,2,0.99,2005-06-21,June     ,6,2,2005,Douglas,Graf,Mexicali,Mexico,Streak Ridgemont,Documentary,PG-13,0.99,2,Jon,Stephens
17,1341,5,3.99,2005-06-15,June     ,6,2,2005,Henry,Billingsley,Nukualofa,Tonga,Rocketeer Mother,Foreign,PG-13,0.99,1,Jon,Stephens
18,1475,3,4.99,2005-06-15,June     ,6,2,2005,Henry,Billingsley,Nukualofa,Tonga,Hanover Galaxy,Music,NC-17,4.99,2,Jon,Stephens
19,1731,3,0.99,2005-06-16,June     ,6,2,2005,Henry,Billingsley,Nukualofa,Tonga,Slipper Fidelity,Sports,PG-13,0.99,2,Jon,Stephens
20,1210,4,0.99,2005-06-15,June     ,6,2,2005,Carl,Artis,San Lorenzo,Paraguay,Academy Dinosaur,Documentary,PG,0.99,2,Jon,Stephens
21,1457,3,4.99,2005-06-15,June     ,6,2,2005,Carl,Artis,San Lorenzo,Paraguay,Closer Bang,Comedy,R,4.99,2,Mike,Hillyer
22,1550,2,0.99,2005-06-16,June     ,6,2,2005,Carl,Artis,San Lorenzo,Paraguay,Hours Rage,New,NC-17,0.99,2,Mike,Hillyer
23,2766,4,4.99,2005-06-19,June     ,6,2,2005,Carl,Artis,San Lorenzo,Paraguay,Rules Human,Horror,R,4.99,2,Jon,Stephens
24,1994,7,5.99,2005-06-17,June     ,6,2,2005,Arthur,Simpkins,Maikop,Russian Federation,Jason Trap,Family,NC-17,2.99,2,Jon,Stephens
25,3372,5,2.99,2005-06-21,June     ,6,2,2005,Arthur,Simpkins,Maikop,Russian Federation,Tramp Others,Comedy,PG,0.99,2,Jon,Stephens
26,3421,3,2.99,2005-06-21,June     ,6,2,2005,Arthur,Simpkins,Maikop,Russian Federation,Strictly Scarface,Comedy,PG-13,2.99,1,Mike,Hillyer
27,1711,8,8.99,2005-06-16,June     ,6,2,2005,Ryan,Salisbury,Daugavpils,Latvia,Beauty Grease,Drama,G,4.99,1,Mike,Hillyer
28,2274,2,0.99,2005-06-18,June     ,6,2,2005,Ryan,Salisbury,Daugavpils,Latvia,Patient Sister,Classics,NC-17,0.99,2,Jon,Stephens
29,3026,1,4.99,2005-06-20,June     ,6,2,2005,Ryan,Salisbury,Daugavpils,Latvia,Teen Apollo,Travel,G,4.99,2,Jon,Stephens
30,3092,7,8.99,2005-06-20,June     ,6,2,2005,Ryan,Salisbury,Daugavpils,Latvia,Virtual Spoilers,Family,NC-17,4.99,2,Mike,Hillyer
31,3326,9,7.99,2005-06-21,June     ,6,2,2005,Ryan,Salisbury,Daugavpils,Latvia,Devil Desire,Action,R,4.99,2,Jon,Stephens
32,1654,4,2.99,2005-06-16,June     ,6,2,2005,Roger,Quintanilla,Hsichuh,Taiwan,Dirty Ace,Games,NC-17,2.99,1,Jon,Stephens
33,2041,8,8.99,2005-06-17,June     ,6,2,2005,Roger,Quintanilla,Hsichuh,Taiwan,Command Darling,Foreign,PG-13,4.99,2,Jon,Stephens
34,2499,1,0.99,2005-06-18,June     ,6,2,2005,Roger,Quintanilla,Hsichuh,Taiwan,Primary Glass,Action,G,0.99,1,Jon,Stephens
35,1197,4,2.99,2005-06-15,June     ,6,2,2005,Joe,Gilliland,Imus,Philippines,Spy Mile,Games,PG-13,2.99,1,Mike,Hillyer
36,1523,1,0.99,2005-06-16,June     ,6,2,2005,Joe,Gilliland,Imus,Philippines,Christmas Moonshine,Children,NC-17,0.99,2,Jon,Stephens
37,2987,8,6.99,2005-06-20,June     ,6,2,2005,Joe,Gilliland,Imus,Philippines,Freddy Storm,Horror,NC-17,4.99,2,Jon,Stephens
38,3067,8,8.99,2005-06-20,June     ,6,2,2005,Joe,Gilliland,Imus,Philippines,Pinocchio Simon,Comedy,PG,4.99,2,Jon,Stephens
39,2011,6,3.99,2005-06-17,June     ,6,2,2005,Juan,Fraley,Teboksary,Russian Federation,Club Graffiti,Animation,PG-13,0.99,2,Jon,Stephens
40,2619,1,0.99,2005-06-19,June     ,6,2,2005,Juan,Fraley,Teboksary,Russian Federation,Harper Dying,Animation,G,0.99,2,Jon,Stephens
41,3079,0,2.99,2005-06-20,June     ,6,2,2005,Juan,Fraley,Teboksary,Russian Federation,Insider Arizona,Music,NC-17,2.99,1,Mike,Hillyer
42,3206,1,0.99,2005-06-21,June     ,6,2,2005,Juan,Fraley,Teboksary,Russian Federation,Japanese Run,Horror,G,0.99,2,Mike,Hillyer
43,1792,9,5.99,2005-06-16,June     ,6,2,2005,Jack,Foust,Zeleznogorsk,Russian Federation,Splash Gump,Family,PG,0.99,1,Mike,Hillyer
44,1869,2,0.99,2005-06-17,June     ,6,2,2005,Jack,Foust,Zeleznogorsk,Russian Federation,Crooked Frogmen,Children,PG-13,0.99,2,Mike,Hillyer
45,2759,5,2.99,2005-06-19,June     ,6,2,2005,Jack,Foust,Zeleznogorsk,Russian Federation,Cider Desire,Documentary,PG,2.99,2,Jon,Stephens
46,1498,1,0.99,2005-06-15,June     ,6,2,2005,Albert,Crouse,Bamenda,Cameroon,Sleuth Orient,Games,NC-17,0.99,1,Mike,Hillyer
47,1649,2,4.99,2005-06-16,June     ,6,2,2005,Albert,Crouse,Bamenda,Cameroon,Boogie Amelie,Music,R,4.99,1,Mike,Hillyer
